eval_video/1,eval_video/6,_step,evaluation/avg_episode_len,eval_video/8,eval_video/2,eval_video/7,eval_video/4,reward_value_images,eval_video/9,eval_video/3,eval_video/0,eval_video/5,evaluation/Reward >= 1,num_online_trajs,_runtime,num_online_samples,evaluation/Reward >= 0,env_steps,evaluation/avg_return,evaluation/success_rate,_timestamp,training/std_pi_max,training/next_actions_std,training/actor_loss,replay_buffer_size,training/mean_pi_avg,training/next_log_probs,training/adapter_l2,training/entropy,training/mean_pi_min,training/std_pi_avg,training/mean_pi_norm,training/adapter_gate_l1,training/critic_loss,training/next_q_pi,episode_return (exploration),training/target_q,training/mean_pi_max,training/next_actions_sampled,training/temperature_loss,training/q_pi_in_actor,training/std_pi_norm,training/adapter_feature_norm,training/next_actions_min,training/next_actions_max,training/temperature,training/q,training/target_actor_entropy,is_success (exploration),training/next_actions_mean,training/std_pi_min,training/adapter_gate_mean
,,5000,,,,,,,,,,,,,734.244605296,,,,,,1780363366.414968,0.8865842223167419,0.8100687861442566,-7.116546630859375,791.0,-0.00022700002591591328,-33.55282974243164,0.6645221710205078,33.5302619934082,-0.010144807398319244,0.8762384057044983,0.03296658769249916,0.479120671749115,0.0026109064929187298,-1.6393626928329468,0.0,-2.621213436126709,0.009289638139307499,0.023682517930865288,16.803157806396484,-2.592312812805176,6.133753776550293,26.081283569335938,-0.9995170831680298,0.999565064907074,0.2895585298538208,-2.6172964572906494,33.55282974243164,0.0,0.023682517930865288,0.8589621186256409,0.479120671749115
,,5500,,,,,,,,,,,,,740.938971379,,,,,,1780363373.1143224,0.8932770490646362,0.8719732165336609,-6.474230766296387,791.0,-0.002026876900345087,-33.41587829589844,0.7764425277709961,33.52959442138672,-0.04710518941283226,0.8781152367591858,0.15233278274536133,0.5018752217292786,0.004561707377433777,-2.325819969177246,0.0,-3.291574001312256,0.054768506437540054,0.06412318348884583,15.005268096923828,-2.195708990097046,6.146936416625977,28.193958282470703,-0.9997419714927673,0.9998155236244202,0.2585795819759369,-3.299584150314331,33.41587829589844,0.0,0.06412318348884583,0.8607524633407593,0.5018752217292786
,,6000,,,,,,,,,,,,,763.130953034,,,,,,1780363379.8085148,0.8962866067886353,0.8951928019523621,-8.87736701965332,791.0,-0.00452986266463995,-33.564064025878906,0.8172593116760254,33.53487014770508,-0.12239693105220795,0.8786486387252808,0.2068178951740265,0.5157839059829712,0.008887399919331074,0.9253638386726379,0.0,-0.078665591776371,0.08526238054037094,0.0014519260730594397,13.407356262207031,1.130193829536438,6.1506853103637695,28.926992416381836,-0.9999648332595825,0.999947190284729,0.2310224175453186,-0.07471895217895508,33.564064025878906,0.0,0.0014519260730594397,0.8649893999099731,0.5157839059829712
,,6500,,,,,,,,,,,,,770.045440281,,,,,,1780363402.0007539,0.8914620280265808,0.9131103157997131,-5.438538074493408,831.0,-0.0015693458262830973,-33.41919708251953,0.8496514558792114,33.460227966308594,-0.042370181530714035,0.8738805055618286,0.1101938784122467,0.5183442234992981,0.0009442036971449852,-0.7717474102973938,1.0,-1.7617223262786865,0.0448029600083828,0.010308683849871159,11.965866088867188,-1.469175100326538,6.117273330688477,29.495309829711914,-0.9999760985374451,0.9999656677246094,0.20644959807395935,-1.757855772972107,33.41919708251953,1.0,0.010308683849871159,0.8615981340408325,0.5183442234992981
,,7000,,,,,,,,,,,,,798.200497208,,,,,,1780363408.9151692,0.8913632035255432,0.9482640027999878,-6.1214704513549805,831.0,-0.002831445075571537,-33.48625946044922,0.9166828393936157,33.46881103515625,-0.14144013822078705,0.8767936825752258,0.29690179228782654,0.5119328498840332,0.007925783284008503,-0.3951123058795929,1.0,-1.3866558074951172,0.18238641321659088,0.014078941196203232,10.697386741638184,-0.0546187087893486,6.137701034545898,30.637462615966797,-0.9999960660934448,0.9999948740005493,0.18453693389892578,-1.3901344537734985,33.48625946044922,1.0,0.014078941196203232,0.8602283000946045,0.5119328498840332
,,7500,,,,,,,,,,,,,804.625847006,,,,,,1780363437.0687115,0.8859103918075562,0.9530366063117981,-3.2283148765563965,888.0,-0.014125268906354904,-33.381385803222656,0.9278773665428162,33.33472442626953,-0.2351495772600174,0.8717221617698669,0.34039920568466187,0.5064435601234436,0.013616546988487244,-2.136003255844116,1.0,-3.112173557281494,0.09023183584213257,0.0027725540567189455,9.54082202911377,-2.2706713676452637,6.102195739746094,30.823970794677734,-0.9999958276748657,0.9999945163726807,0.16496701538562775,-3.107480764389038,33.381385803222656,1.0,0.0027725540567189455,0.8537074327468872,0.5064435601234436
,,8000,,,,,,,,,,,,,830.30881393,,,,,,1780363443.4955387,0.8919501900672913,0.9685001969337463,-4.105532169342041,888.0,-0.017196351662278175,-33.4399299621582,0.9562151432037354,33.31932067871094,-0.27634891867637634,0.8736991882324219,0.4288085699081421,0.5044314861297607,0.021713249385356903,-1.110480546951294,1.0,-2.0967133045196533,0.10541608184576035,-0.0009890177752822638,8.528329849243164,-0.8089094161987305,6.11604118347168,31.291366577148438,-0.9999986886978149,0.9999982118606567,0.14749965071678162,-2.1331892013549805,33.4399299621582,1.0,-0.0009890177752822638,0.853386402130127,0.5044314861297607
,,8500,,,,,,,,,,,,,836.881652271,,,,,,1780363469.1784081,0.8955292701721191,0.9674781560897827,-1.3995834589004517,940.0,-0.016670135781168938,-33.45049285888672,0.9563585519790649,33.487815856933594,-0.16328202188014984,0.8780409097671509,0.34802907705307007,0.48903119564056396,0.020190466195344925,-2.4126548767089844,1.0,-3.3917980194091797,0.08153238147497177,-0.017093515023589134,7.647472858428955,-3.0166683197021484,6.146393299102783,31.293766021728516,-0.9999994039535522,0.9999990463256836,0.13188068568706512,-3.3701789379119873,33.45049285888672,1.0,-0.017093515023589134,0.8639687895774841,0.48903119564056396
,,9000,,,,,,,,,,,,,864.139328347,,,,,,1780363475.749776,0.9195452928543091,0.9689120054244995,-2.6738717555999756,940.0,-0.028292519971728325,-33.178382873535156,0.9606989622116089,33.23008728027344,-0.5360329151153564,0.8752940893173218,0.6969999074935913,0.49090343713760376,0.031500499695539474,-1.5349286794662476,1.0,-2.521902084350586,0.21551990509033203,-0.054352663457393646,6.80988073348999,-1.2458269596099854,6.127378463745117,31.36471939086914,-1.0,0.9999998807907104,0.11796068400144577,-2.4993858337402344,33.178382873535156,1.0,-0.054352663457393646,0.8169101476669312,0.49090343713760376
,,9500,,,,,,,,,,,,,870.998603756,,,,,,1780363503.0105472,0.8913189172744751,0.9672784805297852,-0.4991098940372467,992.0,-0.018465740606188774,-33.31777572631836,0.9562268853187561,33.40129470825195,-0.38739433884620667,0.8694095015525818,0.43878740072250366,0.4797974228858948,0.015407725237309933,-2.472222089767456,1.0,-3.429312229156494,0.23215548694133759,-0.03945903107523918,6.107834339141846,-3.024148941040039,6.085994720458984,31.291637420654297,-1.0,1.0,0.10548701137304306,-3.4330899715423584,33.31777572631836,1.0,-0.03945903107523918,0.8138025403022766,0.4797974228858948
